,true sales,predicted sales,predicted sales round up 
112,1,6.060359001159668,6
113,1,6.3732709884643555,6
114,1,7.52324104309082,8
115,1,6.19012451171875,6
116,1,6.085613250732422,6
117,1,6.071348190307617,6
118,1,6.368364334106445,6
119,1,6.048566818237305,6
120,1,6.265886306762695,6
121,1,6.121856689453125,6
122,1,6.461660385131836,6
123,1,6.174001693725586,6
124,1,7.636883735656738,8
125,15,18.2056827545166,18
126,7,16.342918395996094,16
127,35,19.332805633544922,19
128,15,10.924375534057617,11
129,9,19.7067928314209,20
130,50,12.756998062133789,13
131,24,32.110286712646484,32
132,20,41.31083679199219,41
133,96,14.432435989379883,14
134,9,69.90800476074219,70
135,19,15.953234672546387,16
136,12,18.407697677612305,18
137,6,10.05014419555664,10
138,8,18.176645278930664,18
139,7,7.667402267456055,8
140,10,8.861676216125488,9
141,9,7.66745662689209,8
142,4,7.312695503234863,7
143,24,10.756733894348145,11
144,47,10.014373779296875,10
145,7,10.331426620483398,10
146,5,3.5901381969451904,4
147,6,6.457906723022461,6
148,1,7.868122100830078,8
149,4,7.651577949523926,8
150,3,3.4680206775665283,3
151,1,4.387555122375488,4
152,1,3.71416974067688,4
153,1,3.7048542499542236,4
154,1,3.180194139480591,3
155,1,2.319939136505127,2
156,1,3.070326328277588,3
157,1,3.6606321334838867,4
158,1,2.719245195388794,3
159,1,4.182127475738525,4
160,1,3.283520221710205,3
161,1,2.3503904342651367,2
162,1,2.303985357284546,2
163,1,2.710533857345581,3
164,1,3.4186620712280273,3
165,1,3.0294740200042725,3
166,1,3.015209674835205,3
167,1,3.295624017715454,3
168,2,3.3056089878082275,3
169,1,3.6308815479278564,4
170,1,2.8426363468170166,3
171,1,4.552995681762695,5
172,1,3.2223587036132812,3
173,1,3.0664052963256836,3
174,1,3.382009744644165,3
175,1,3.3954880237579346,3
176,1,3.452085256576538,3
177,1,4.602730751037598,5
178,1,3.0718586444854736,3
179,1,3.1237690448760986,3
180,1,3.1431074142456055,3
181,1,3.1280908584594727,3
182,1,4.910632133483887,5
183,1,3.4015166759490967,3
184,1,3.451935052871704,3
185,1,3.5309066772460938,4
186,1,2.8422529697418213,3
187,1,3.154802083969116,3
188,1,3.172086477279663,3
189,1,3.2191381454467773,3
190,1,2.9188525676727295,3
191,1,3.0731685161590576,3
192,1,4.418911933898926,4
193,1,3.077296018600464,3
194,1,2.9641857147216797,3
195,1,2.9420220851898193,3
196,1,4.436523914337158,4
197,1,3.0032670497894287,3
198,1,2.936993360519409,3
199,1,2.9890029430389404,3
200,1,3.2892887592315674,3
201,1,4.474802017211914,4
202,1,2.930981397628784,3
203,1,2.9817700386047363,3
204,1,2.970540761947632,3
205,1,3.162964344024658,3
206,1,3.0314254760742188,3
207,1,3.374805450439453,3
208,1,4.149717330932617,4
209,1,3.8299198150634766,4
210,1,4.03461217880249,4
211,1,4.255639553070068,4
212,1,3.9553539752960205,4
213,1,4.268266677856445,4
214,1,4.321310997009277,4
215,1,4.033652305603027,4
216,1,4.346565246582031,4
217,1,4.058906555175781,4
218,1,4.371818542480469,4
219,1,4.071533203125,4
220,1,4.384446144104004,4
221,1,4.341657638549805,4
222,1,5.559669494628906,6
223,1,4.034487724304199,4
224,1,4.366911888122559,4
225,1,5.584922790527344,6
226,12,6.369595527648926,6
227,1,7.997594833374023,8
228,1,6.11046028137207,6
229,1,7.612860679626465,8
230,1,6.2797441482543945,6
231,1,3.5456936359405518,4
232,1,3.483394145965576,3
233,1,3.5212748050689697,4
234,1,3.909113883972168,4
